Strategy,Avg_Return,Median_Return,Std_Dev,Win_Rate,Best_Period,Worst_Period,Sharpe
Lasso,0.1564803996334252,0.2020965749063326,0.2101847665152712,0.75,0.6028053239933244,-0.19884516301220478,0.7444897279083065
Dynamic_Weighted,0.1249554872665309,0.14708523028997622,0.16607695239425138,0.8125,0.3750362354780503,-0.19884516301220478,0.7523951124169119
Adaptive,0.11713278000096947,0.1407890786512196,0.16102895984469445,0.8125,0.3440312810720838,-0.19884516301220478,0.7274019537475683
Static_Weighted,0.11661712361315554,0.12475936756025363,0.1614794318274131,0.8125,0.3440312810720838,-0.19884516301220478,0.7221794273947797
Voting,0.11615812616166132,0.13555416545384258,0.16828845569510872,0.875,0.4298599935864751,-0.2158981026530461,0.6902322900395921
Best_of_N,0.10786114747589684,0.11370858440809961,0.1647692486788558,0.8125,0.3750362354780503,-0.21382695991390854,0.6546194046567758
BayesianRidge,0.10048069205789084,0.09744888329929657,0.19240709820767934,0.8125,0.5693503178970838,-0.21382695991390854,0.5222296526162176
OrthogonalMatchingPursuit,0.10002606849663424,0.1053787844671511,0.15578011068717026,0.75,0.3984840537178449,-0.19884516301220478,0.6420978137414572
Confidence_Based,0.024908600002888956,0.003210861848264579,0.15827344652634848,0.5,0.3390726487957123,-0.22249603050309952,0.15737699879267059
