Strategy,Avg_Return,Cumulative,Win_Rate,Std_Dev,Max_DD,Sharpe,Sortino,Best,Worst
Regime_Adaptive,0.13449942116265534,5.252847372403647,0.8125,0.17261923345237398,0.1988451630122048,0.7791682217136251,1.4885751735559118,0.3750362354780503,-0.19884516301220478
Dynamic_Weighted,0.1249554872665309,4.509176696688447,0.8125,0.16607695239425138,0.1988451630122048,0.7523951124169119,1.3121006975089904,0.3750362354780503,-0.19884516301220478
Lasso,0.1564803996334252,6.924059892117108,0.75,0.2101847665152712,0.1988451630122047,0.7444897279083065,1.7526114854148125,0.6028053239933244,-0.19884516301220478
Voting,0.11615812616166132,3.8300732382356086,0.875,0.16828845569510872,0.2158981026530461,0.6902322900395921,9.633083846977248,0.4298599935864751,-0.2158981026530461
OrthogonalMatchingPursuit,0.10002606849663424,2.919082242663955,0.75,0.15578011068717026,0.20910018198510166,0.6420978137414572,0.9401724237102488,0.3984840537178449,-0.19884516301220478
BayesianRidge,0.10048069205789084,2.6980512173168707,0.8125,0.19240709820767934,0.22727591795666122,0.5222296526162176,1.0157397843430667,0.5693503178970838,-0.21382695991390854
Confidence_Fixed,0.07446659009505577,1.6673935031286269,0.75,0.15699344517197084,0.226822790740034,0.47432929453509964,0.7039102558950322,0.3784013938945938,-0.22682279074003409
